sim,snap,redshift,subhalo_id,g1,g2,inclination,theta_int
TNG50-1,65,0.55,93000,0.01702202,-0.06409256,0.52367529,-0.68076478
TNG50-1,65,0.55,114525,-0.04380297,0.00150033,1.1474281,-0.23870733
TNG50-1,65,0.55,144498,-0.03098215,-0.01415817,1.22361993,-0.69838255
TNG50-1,65,0.55,189020,-0.04588545,0.01515509,1.13681082,-0.4186389
TNG50-1,65,0.55,168839,-0.05941944,0.00623486,1.22968086,-0.34255733
TNG50-1,65,0.55,196837,0.05321047,-0.01275821,1.12929263,0.32630014
TNG50-1,65,0.55,2,0.03443059,-0.07681362,1.33136138,-0.87999138
TNG50-1,65,0.55,163355,0.04883327,-0.0738604,1.26778863,0.95596109
TNG50-1,65,0.55,184527,0.00196565,-0.02919435,1.03814233,-0.19623532
TNG50-1,65,0.55,1,0.03884038,-0.00041399,0.48980897,0.64793499
TNG50-1,65,0.55,209306,-0.08806447,-0.0304124,1.35269293,-1.31493723
TNG50-1,65,0.55,150942,0.04315438,0.0312606,1.22148075,-0.0943565
TNG50-1,65,0.55,192431,0.00885599,-0.01396105,0.43749108,-1.48214205
TNG50-1,65,0.55,236409,0.03135548,-0.04825064,0.47132479,0.55263754
TNG50-1,65,0.55,205211,0.01900116,-0.01390481,0.76643204,-0.49099927
TNG50-1,65,0.55,180260,-0.04935276,0.01129299,1.19740558,1.41136934
TNG50-1,65,0.55,238005,-0.07490199,0.01624424,1.03554708,-0.55253008
TNG50-1,65,0.55,138810,-0.03560271,0.09391896,1.2227338,0.20045214
TNG50-1,65,0.55,227679,0.02824586,-0.03344547,1.29310451,-0.76218941
TNG50-1,65,0.55,255213,0.03450457,-0.00367393,1.07264355,0.37734495
TNG50-1,65,0.55,138811,-0.06839711,0.0213062,0.88092246,-0.10353951
TNG50-1,65,0.55,3,-0.04905497,-0.00117115,1.09105649,-0.4064333
TNG50-1,65,0.55,256346,-0.03616178,-0.02503091,0.84357594,-0.93088736
TNG50-1,65,0.55,211552,-0.01786525,-0.07746286,1.1483829,-1.22044169
